role,skill,minimum_proficiency
Head of Customer Success,Customer Onboarding,3
Head of Sales,Leadership,4
Head of Sales,Communication,4
Head of Sales,Solution Selling,4
Head of Sales,Contract Negotiation,3
Head of Marketing,Leadership,4
Head of Marketing,Communication,4
Head of Marketing,Content Marketing,4
Head of Marketing,SEO & Web Analytics,3
Head of People,Leadership,4
Head of People,Communication,4
Head of People,Coaching & Mentoring,4
Head of People,Change Management,3
Finance Manager,Leadership,3
Finance Manager,Communication,3
Finance Manager,Financial Modelling,3
Finance Manager,ERP Administration,3
Operations Manager,Leadership,3
Operations Manager,Communication,3
Operations Manager,Project Management,3
Operations Manager,Change Management,3
Customer Success Manager,Leadership,3
Customer Success Manager,Communication,3
Customer Success Manager,Account Management,3
Customer Success Manager,Customer Onboarding,3
Sales Manager,Leadership,3
Sales Manager,Communication,3
Sales Manager,Solution Selling,3
Sales Manager,Salesforce Administration,2
Marketing Manager,Leadership,3
Marketing Manager,Communication,3
Marketing Manager,Content Marketing,3
Marketing Manager,SEO & Web Analytics,2
Staff Engineer,API Design,4
Staff Engineer,TypeScript,4
Staff Engineer,Node.js,4
Staff Engineer,PostgreSQL,3
Staff Engineer,Observability,3
Staff Engineer,Coaching & Mentoring,3
Mobile Engineer,Swift & iOS,3
Mobile Engineer,Kotlin & Android,3
Mobile Engineer,API Design,2
Mobile Engineer,Test Automation,2
Platform Engineer,Kubernetes,3
Platform Engineer,Terraform,3
Platform Engineer,AWS,3
Platform Engineer,Observability,3
Platform Engineer,Go,2
Data Engineer,Data Engineering,3
Data Engineer,SQL & Data Modeling,3
Data Engineer,Python,3
Data Engineer,Apache Spark,2
Data Engineer,AWS,2
ML Engineer,Machine Learning,3
ML Engineer,MLOps,3
ML Engineer,Python,3
ML Engineer,Statistics,2
Analytics Engineer,Analytics Engineering (dbt),3
Analytics Engineer,SQL & Data Modeling,3
Analytics Engineer,Data Visualization,3
Product Designer,Figma,3
Product Designer,Design Systems,3
Product Designer,UX Research,2
Product Designer,Accessibility,2
Security Engineer,Identity & Access Management,3
Security Engineer,Threat Modelling,3
Security Engineer,Networking,3
Security Engineer,Penetration Testing,2
Finance Analyst,Financial Modelling,3
Finance Analyst,SQL & Data Modeling,2
Finance Analyst,Data Visualization,2
Accountant,Revenue Recognition,3
Accountant,ERP Administration,3
Accountant,Financial Modelling,2
Payroll Specialist,Payroll Administration,3
Payroll Specialist,ERP Administration,2
Payroll Specialist,Data Privacy (GDPR),2
Legal Counsel,Contract Negotiation,4
Legal Counsel,Data Privacy (GDPR),3
Legal Counsel,Vendor Risk Management,3
Procurement Specialist,Procurement,3
Procurement Specialist,Contract Negotiation,3
Procurement Specialist,ERP Administration,2
IT Support Specialist,Networking,3
IT Support Specialist,Identity & Access Management,2
IT Support Specialist,Communication,2
Customer Success Specialist,Customer Onboarding,3
Customer Success Specialist,Account Management,3
Customer Success Specialist,Communication,3
Account Executive,Solution Selling,3
Account Executive,Contract Negotiation,2
Account Executive,Salesforce Administration,2
Account Executive,Communication,3
Sales Engineer,Solution Selling,3
Sales Engineer,API Design,2
Sales Engineer,Public Speaking,3
Sales Development Representative,Solution Selling,2
Sales Development Representative,Salesforce Administration,2
Sales Development Representative,Communication,3
Content Strategist,Content Marketing,3
Content Strategist,SEO & Web Analytics,2
Content Strategist,Communication,3
Growth Marketer,Experimentation & A/B Testing,3
Growth Marketer,SEO & Web Analytics,3
Growth Marketer,Data Visualization,2
Marketing Analyst,Data Analysis,3
Marketing Analyst,SEO & Web Analytics,3
Marketing Analyst,Data Visualization,3
Recruiter,Technical Recruiting,3
Recruiter,Communication,3
Recruiter,Stakeholder Management,2
Learning & Development Specialist,Coaching & Mentoring,3
Learning & Development Specialist,Change Management,3
Learning & Development Specialist,Public Speaking,3
