slug,title,kind,skills,verified,url,provenance,provider
course-terraform-iac,Infrastructure as Code with Terraform,training,Terraform;DevOps,true,,Fictional enterprise dataset (generated),Platform Guild (internal)
course-observability,Observability Practices Workshop,training,Observability;Incident Response,true,,Fictional enterprise dataset (generated),Site Reliability Chapter (internal)
rotation-sre-shadow,SRE On-call Shadowing Rotation,job_rotation,Incident Response;Observability;Kubernetes,true,,Fictional enterprise dataset (generated),Site Reliability Chapter (internal)
course-data-engineering,Data Engineering Fundamentals,training,Data Engineering;Apache Spark;SQL & Data Modeling,true,,Fictional enterprise dataset (generated),Data Guild (internal)
course-dbt-analytics,Analytics Engineering with dbt,training,Analytics Engineering (dbt);SQL & Data Modeling,true,,Fictional enterprise dataset (generated),Data Guild (internal)
course-mlops,MLOps: From Notebook to Production,training,MLOps;Machine Learning,true,,Fictional enterprise dataset (generated),Data Guild (internal)
course-experimentation,Experimentation and Causal Inference,training,Experimentation & A/B Testing;Statistics,false,,Fictional enterprise dataset (generated),
course-prompting,Prompt Engineering for Product Teams,training,Prompt Engineering,false,,Fictional enterprise dataset (generated),
cert-iam-practitioner,Identity and Access Management Practitioner,certification,Identity & Access Management,true,,Fictional enterprise dataset (generated),Security Office (internal)
course-threat-modelling,Threat Modelling Workshop,training,Threat Modelling;Penetration Testing,true,,Fictional enterprise dataset (generated),Security Office (internal)
cert-privacy-gdpr,Data Privacy Practitioner (GDPR),certification,Data Privacy (GDPR),true,,Fictional enterprise dataset (generated),Compliance Office (internal)
course-vendor-risk,Vendor Risk Management Essentials,training,Vendor Risk Management;Procurement,true,,Fictional enterprise dataset (generated),Compliance Office (internal)
course-financial-modelling,Financial Modelling Bootcamp,training,Financial Modelling,true,,Fictional enterprise dataset (generated),Finance Academy (internal)
cert-revenue-recognition,Revenue Recognition Certificate,certification,Revenue Recognition,true,,Fictional enterprise dataset (generated),Finance Academy (internal)
doc-payroll-runbook,Payroll Close Runbook,documentation,Payroll Administration;ERP Administration,true,,Fictional enterprise dataset (generated),Finance Academy (internal)
mentoring-account-management,Account Management Mentoring Circle,mentoring,Account Management;Customer Onboarding,true,,Fictional enterprise dataset (generated),Customer Success Chapter (internal)
course-solution-selling,Solution Selling Programme,training,Solution Selling;Contract Negotiation,true,,Fictional enterprise dataset (generated),Sales Enablement (internal)
cert-salesforce-admin,Salesforce Administrator Certificate,certification,Salesforce Administration,true,,Fictional enterprise dataset (generated),Sales Enablement (internal)
course-design-systems,Design Systems in Practice,training,Design Systems;Figma,true,,Fictional enterprise dataset (generated),Design Chapter (internal)
course-content-seo,Content and SEO Fundamentals,training,Content Marketing;SEO & Web Analytics,false,,Fictional enterprise dataset (generated),
mentoring-coaching,Coaching Skills for Managers,mentoring,Coaching & Mentoring;Leadership,true,,Fictional enterprise dataset (generated),People Team (internal)
course-change-management,Leading Change,training,Change Management;Stakeholder Management,true,,Fictional enterprise dataset (generated),People Team (internal)
course-public-speaking,Presenting with Confidence,training,Public Speaking;Communication,true,,Fictional enterprise dataset (generated),People Team (internal)
project-mobile-release,Mobile Release Train Project,project_experience,Swift & iOS;Kotlin & Android;Test Automation,true,,Fictional enterprise dataset (generated),Engineering Guild (internal)
